DateTime,Ping (ms),Download (Mbps),Upload (Mbps)
2021-02-25 20:18:12,11.77,94.51,94.54
2021-02-25 20:18:47,11.65,92.69,94.59
2021-02-25 20:32:08,23.55,94.68,94.69
2021-02-25 20:33:20,59.74,74.51,90.23
2021-02-25 20:34:20,11.74,94.99,94.59
2021-02-25 21:01:00,13.14,93.01,93.44
2021-02-25 21:02:43,116.22,56.37,33.32
2021-02-25 21:07:19,70.92,69.68,93.93
2021-02-25 21:12:36,95.33,72.74,94.62
2021-02-25 21:16:12,46.78,36.70,93.31
2021-02-25 21:21:03,132.07,47.40,12.79
2021-02-25 21:22:46,13.41,94.28,94.60
